experiment,row_id,interface,model_condition,parsed,action_energy_kwh,branch,nontrivial_1kwh,nontrivial_5kwh,nontrivial_10kwh
E1,e1_00e4c2fe949e044e9c3f,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_0352f601a779c587d768,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_0445b175889463efde51,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_04c28e1c1c81439f85c1,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_067f54f742a836166dca,I3,deepseek_formal,False,0.0,,False,False,False
E1,e1_0892c13dea1a166ab37b,I3,deepseek_formal,True,1875.0,,True,True,True
E1,e1_08c3988dd1e34e24b82a,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_0a80e36ba9f05a5969b8,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_0d28e4f5bf2086cc1fe4,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_0d7fef43465c82ff7653,I3,deepseek_formal,True,1750.0,,True,True,True
E1,e1_0dd5ff4df87afb429155,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_0e2df86e6a2996e9626d,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_0f64f56771bf381f3844,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_1280c49324038c9be694,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_1348abdf3e84ddc737f7,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_1518a43191bdfbde7b54,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_157a2cdfbcf63cded1c8,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_15f6c1af0ea2b46226aa,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_165f3496b32a5efbf2ef,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_1906a74c3e162ff9edf5,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_197ba23a328210942b40,I3,deepseek_formal,True,2187.5,,True,True,True
E1,e1_1a5514722f1cfdaec7e1,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_1ac059a92c897cc030b4,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_1c5f7b9a365fdf2a1fb7,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_1e6404aac0b98dafb7f9,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_1ed918ce972d06b91ae8,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_1fc6f4ef4b4baf863c6e,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_1ffb5b56c3ca3669e617,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_201a1f06558691a4abec,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_202ff43a1025e3615ea7,I3,deepseek_formal,True,1500.0,,True,True,True
E1,e1_22bda062b61790f0e3d9,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_23bc136c83e835fb2320,I3,qwen_flash,False,0.0,,False,False,False
E1,e1_241b6aacb89164cfb97c,I0,qwen_flash,False,0.0,,False,False,False
E1,e1_27d2b0da2e7a5c6b481a,I0,deepseek_formal,True,0.0,,False,False,False
E1,e1_28244e25237b2295165c,I3,deepseek_formal,True,1500.0,,True,True,True
