claim_id,claim,experiment,population,denominator,source_rows,row_selector,analysis_script,output_artifact,caveat,status
C_ORIGINAL_G_BOUNDARY,Original G endpoint boundary,legacy primary/extension,legacy primary/extension,960 and 480,legacy frozen reports,all rows,build_offline_completion_audit_v1_7.py,legacy frozen reports,Historical construct; separate from E1/E2/F1/F0,FROZEN_HISTORICAL
C_E1_BUNDLED_PC,I3 changes action generation relative to I0,E1,E1,240 episodes,e1_bundled_positive_control_manifest.jsonl,all 240 episode rows,build_offline_completion_audit_v1_7.py,e1_bundled_positive_control_manifest.jsonl,Bundled interface contrast; no single-factor attribution,SUPPORTED
C_E1_AUTHORITATIVE_RAW_F,E1 authoritative raw feasibility is zero,E1,E1,240 episodes,e1_e2_activity_threshold_rows.csv,experiment == E1,build_offline_completion_audit_v1_7.py,e1_e2_activity_threshold_rows.csv,Safety/deployment endpoint from canonical state replay,SUPPORTED
C_E2_RAW_CARRIER,E2 raw actions respond to carrier contrasts,E2,E2,360 blocks,E2 frozen reports,model-stratified C/S/C2 contrasts,build_offline_completion_audit_v1_7.py,E2 frozen reports,Model-stratified; Qwen uncertainty retained,SUPPORTED_RAW_ONLY
C_E2_PROJECTION,E2 projection-dependent results,E2,E2,"1,800 branch rows",gate_timeout_consolidated_audit.json,formal denominator; no selective retry,build_offline_completion_audit_v1_7.py,gate_timeout_consolidated_audit.json,53 formal timeouts; exact action may be solver-selected on a non-unique face,PARTIAL_WITH_TIMEOUTS
C_F1_CARRIER,F1 carrier-response magnitude and robustness,F1,F1,120 blocks/480 branches,f1_block_metrics.csv,"all F1 blocks, stratified by model",build_offline_completion_audit_v1_7.py,f1_block_metrics.csv,Frozen challenge-set stability; no population inference,SUPPORTED
C_F0_TEMPORAL,F0 old-contract temporal sensitivity,F0,F0,30 blocks/120 branches,f0_block_metrics.csv,"all F0 blocks, stratified by model",build_offline_completion_audit_v1_7.py,f0_block_metrics.csv,Separate tier; not pooled with F1,SUPPORTED
C_F1_VIOLATION,F1 raw-action violation severity,F1,F1,480 branches,UNIFIED_VIOLATION_SEVERITY.jsonl,tier == F1,build_offline_completion_audit_v1_7.py,UNIFIED_VIOLATION_SEVERITY.jsonl,Authoritative and carrier-consistent replay are separate fields,SUPPORTED
C_F1_GATE_BASELINES,F1 matched gate and deterministic baselines,F1,F1,480 LLM branches and 300 scenario-baselines,f1_gate_branch_results.csv; gate_baseline_results.csv,same scenario_id and frozen physical contract,build_offline_completion_audit_v1_7.py,f1_gate_branch_results.csv; gate_baseline_results.csv,Offline system metric; prompt did not specify the scored economic objective,SUPPORTED_OFFLINE
C_GATE_MECHANISM,Battery-only versus expanded-action-space rescue mechanism,F1/F0/Qwen3.7,F1/F0/Qwen3.7,saved gate sidecars,gate_rescue_mechanisms.jsonl,paired block_id + branch + model,build_offline_completion_audit_v1_7.py,gate_rescue_mechanisms.jsonl,Provider-free counterfactual,SUPPORTED_OFFLINE
C_QWEN37_CARRIER_RAW_F,Qwen3.7 carrier-consistent raw feasibility is 6/240 in F1 and 1/60 in F0,Qwen3.7 F1/F0,Qwen3.7 F1/F0,240 and 60 branches,QWEN37_F1_BRANCH_METRICS.csv; QWEN37_F0_BRANCH_METRICS.csv,"sum(carrier_consistent_raw_feasible), separately by tier",build_offline_completion_audit_v1_7.py,QWEN37_F1_BRANCH_METRICS.csv; QWEN37_F0_BRANCH_METRICS.csv,Diagnostic endpoint in the state presented to the model,SUPPORTED_SENSITIVITY
C_QWEN37_AUTHORITATIVE_RAW_F,Qwen3.7 authoritative raw feasibility is 3/240 in F1 and 0/60 in F0,Qwen3.7 F1/F0,Qwen3.7 F1/F0,240 and 60 branches,QWEN37_F1_BRANCH_METRICS.csv; QWEN37_F0_BRANCH_METRICS.csv,"sum(authoritative_raw_feasible), separately by tier",build_offline_completion_audit_v1_7.py,QWEN37_F1_BRANCH_METRICS.csv; QWEN37_F0_BRANCH_METRICS.csv,Safety/deployment endpoint; separate sensitivity tier,SUPPORTED_SENSITIVITY
C_QWEN37,Qwen3.7 carrier sensitivity,Qwen3.7 F1/F0,Qwen3.7 F1/F0,75 blocks/300 branches,QWEN37_OFFLINE_STANDARDIZATION.json,raw_feasibility_by_replay_state and model-specific carrier metrics,build_offline_completion_audit_v1_7.py,QWEN37_OFFLINE_STANDARDIZATION.json,Separate sensitivity tier; no pooling,SUPPORTED_SENSITIVITY
C_INDEPENDENT_PHYSICS,Independent replay agrees with archived and gate evidence,F1/F0/Qwen3.7,F1/F0/Qwen3.7,"4,620 checks",INDEPENDENT_PHYSICS_CROSSCHECK.json,all saved raw and gate rows plus 12 fixtures,build_offline_completion_audit_v1_7.py,INDEPENDENT_PHYSICS_CROSSCHECK.json,Independent equations and boundary fixtures,SUPPORTED
